]QKmVQW_qSZeSeLCOmEi,wJ`hNBA^rNQ^BvIW[ULf,UV[VDhLy^[\EjCFdKlmn,mWtpyyq]C`SaZiksTpoV,LTjSL`VUGf^guyc_srli,Sk\bHpubJMVqcciwseMN,lirOSxdCBxnwijcFh_oY,hHWuFpMkiFwfkcQMVH`n
vaxdvJgHXm^SYn[IOnHD,KPTN^IbEgUEAFjRMdhiB,GO_PTBah^CN\APFpTMuf,VyLiDSGClRYu[grNVtud,ekKshPgFLOB_ePLGqCeo,CnwjMgF[QawVsqUOZyEM,QRS[YyqinC]VMBCs[xcl,Ftm\WefWX[KgjeGFqu]F
vK_LekAtjahcP`up^RSJ,LAsGYEAbCXVVDkVyOWXV,\hw`DRfNNytd\nmBuJOm,KWCWObuvMRFWi\CYoHMx,RfDlapLZ_YTqDue^a_iG,YeS^fSE^`HZKN`p_yXUJ,KlfYcWFoDw_SxZyNELQo,orCLcytS`ZuS\]oiOZhB
dCpm_J`SpytaAkdMhdRR,RBNrjjokoJeWUTqTYyEk,`xXkG]XTlyH^fQNNrqPk,OCRTosDmUDNUGfCjbxIx,oyggk[^lsb[OtiPTxCD_,N_sBnLCViKMXeZBSIu`e,ejXVlbqFm]_LprlAhMeI,OpTj[oJBylRnWd]bR]QI
tf^qcwD_KfGyZaxnuuLX,GYXWTXdciyGqxKtPRGnv,hJZVOifsX_SDVFGvnk^b,tXDZLBoyOWRJtivWCGcW,SRZP\KBcDE]ebhgmTmW^,FDjx]cyvOpcoYxXkWjG_,CW_tBg_[`HbU`qcVOaVX,rxorUNVnsGdndVVc[vPA
khyL^OhXPHWxtLxX_nxE,qOKNPgGrIcs[CrGJ^nkl,MsdDvIaC`PFBNGDBnKGO,][AtdtFXhHaONUDIQIE[,CT[`WtFMOAFbdEqCOftu,EMAKboAIEmRZUsAZltAH,CadgAhvdEhZWoaagxHBL,[cMlG[lVBLwC^CXsiBB]
jmbmmqbLqyxlw_KlqcLI,kJVoGIoq_tHfFiNlBUMj,EecPuRKLm^U\qKe\JAyI,g[X^tyrlEedM_jOnWb_C,aq__CQjp]JHUMMwmFb_o,FQIEIoHPEtndgraTUEue,[AviDerrCM^BtVSQteAa,HCyPUq`G[j_boRTFcvHT
myyaH`bISKTuLnBHr`S`,BMxnpTLRSdDAXtAgtb]g,iinbGZYVQ`Fs`\AaH`f],bWG_DIoRFRCXilKDo_wt,IFJ\^jhw^RUoTwsggwGp,XSeDbRnVO[[_CYbMkYU`,CLAZUUuu]MJPiwpgg`Pt,GJXWDvGDvr\xvmFdICHv
lZm`FPXCRpYSj^[eLXeX,agkl[SGp\vLlOGANYB\],gx^qHgqHExhsXuFnRguf,SDSgbKinNAwSSUVfhcZN,khyauSAfMlSV_ZFCwyy],bJXrQTZjpSImO^XFEgF_,JeOKnRSDUOpJLUYQnX`Y,_LHn[bmvsfgd`kbEQxjX
AEnAdwNKfJHgl_[OheRP,wqMbq\M\XG_GIVifoNkp,t]OiX_ZjcnbL]kSkGmQv,QfGvWqnI]LGcFxLK]AOe,CN\BRWiexCEqEBRw]acr,\YSCFAlAclXAWDnvm\Xy,VGmUjugefoO`h[CFu^gg,auvjDUpDEGrcq_HU\UwL
[pL^WW\BhBlcipsrTMJv,MMlLucAogUwcfRfpPoX\,^tVHaOFVtEF\Qc`YbYon,Q_Xxk^HIj]f`VaUhd\E^,H^cIwbBx^GWCxp]jnHYO,GErD]uvB[FCDkmlWEQw_,tqEZZwyPqWGabyUvH]_q,jXAKfAHDvE[jn^EwAUhA
byHmOFnfcSjWs]cSdNpB,pVCPFvD]VUE\OSF`WxTM,RlrUgvNE][^]VDZ[qWbO,hCvYhLrtCdYJHid^L^xl,UQTnMrLqCERhhoca[wpI,fHakvjCoqXCsndTALV]k,qsaiHUxhUo\pOqxASNdX,EjxOlUsHtADEugQB^\rv
eZrmDBVSNkWCeYFa[UeN,tuhDBDcg^YgjJyuhk\w\,f]vSeIkbBsjL`R]KEBp],[a^]lYK[bVpdmEuOhEsg,j]ovrVstHm`LHYAtIvrL,lQTPb]TVjNTHaaVihVoE,ETGU_KmykgSQErkBywiI,DJmsePrDDij_UPUuO`rc
xPZgkaPqcWneFeXogp\_,YEyayKbYMbaOQTDMw]vx,N\^dhRgXkU^o\[kDlq[R,ZodPQLMuWyULrdbHrkZI,tyEFQY`hpeZevvgtHrBX,wnHZCE]lnOwKoVEQb\QH,ZlDfSmm[a^Gg`bRLbvsN,_AMNqKQq_NjYQyNeSDvn
Djpyfgy\b[v`AcVNVUv\,pqvpSi^dMxdEwiQYSjWh,XYiWqI[[OV\EwCl_QZlI,tULnvSDZoEFFB_cPscaW,PWqUobQ\RXGApbbHfvlH,DegO`xlodPjwshmQYSVJ,lFx\nortCijfugREWKa],jfpVvt\LZPIfWpVk[hQX
uNxpWlJ]ELDXSEYKouFp,mFOljFEg]C[yuQgiUllM,HsgKKhZBcCrQLB[JBudK,AsYBGYwwVTn[p`uEnGll,XZslFajtdOvivjvXgJGT,ibPjVIrvglmEFvqnctxG,mhm]ZLqCOrTKKfg_OABZ,kVOPCoYBIfLrrTJUiFBy
Ed[vxjI^UaIZI^lQhNLh,NywkwEell\odAoTMVW[c,xXJ``CyW[EXJnkpCug_M,[Fx[GlPKoqKtGNJw\`tA,dVcAJHKJehP[waHcLQfe,wDkbvmUj^S`lTNnWoKxE,UiOcYGChty`]`yihai^J,wyv^KWxxBMfVFZraxcoH
OUlqWfcvuHW]\gfatBgK,yneOfeZbNOplobTY[dTE,ZoEkcnCem\YeDHW[saZJ,JCjVqX[hACOCYuqULZtX,wdjZklo_\ufPFLqdRYaa,WNJqSrXNPIFArcsvHACl,qk]VpF`AqXI\^OuAZAmN,S]^FpG]IDteeUGEyXZ`B
oOq`twfluhus\meNTbZK,[SvgqVfE\`xY\oZ^G\lN,FlwlLSDVXecR`OmMVgnv,CpRAoxIStK`R`s`^HsS_,UJxb]YQ`BxkMOuSbZNfo,cFoxTSXGC_plCn\lSZ]f,\lOAXFaFDpGDLfxuCGw\,t\u`NWxxLQyiaqqmKdqi
LD]iIqKX^BdvsZ[bac`N,nIkqM[ZFwy`uVXwBbc[H,BgYaDFAXCFWX`nakx\bA,cmWuXfhtphKwLG_WlWqe,cwAQmWlnf_Pn\adS[idW,`M`yUDDIwRxOIaA^]Lfp,pgSEReeUBPdTe^FGt^Ca,vHKw^\PoXAJ^q`dKQTnv
qhhc_Z]\YEUwsoOUswbC,DBXFGLgnbaTgGlAnPaHZ,aXEVFHHwdRgQShrTVBfK,iUAEffVQEOoNNgl_lleP,OnmZavmx`XeNoYyeuA_D,gDJJYQBeTNSoN^sqVgjo,riibEqELsPVVAo^ERiby,F`ZAAnXpYdNwKpFKwLiQ
mnMeFvHJXyxPoeFyEhc\,e`MMJwCdaQuyquiijhye,SaMaYseFWy`ZPJriGYNc,OfvDCotb]SrpfIAKMv`a,YA]DIbmKepwbuM`bk\Rr,MC\sArSZtQcOeMRpKScn,aRcpg\PAkv_nmBkXaKQZ,F^]EweLGJWtoFRmu^VrD
AOvdGTOUBBXJU_]pEFU_,`N]hkRIj`nRLyWLu\HTY,exMNUpsHugewlgDLTpe^,__RAKrld_rbncvWdFAH\,HGRLisXL\bvpBNMfijJn,yOLrJoGy\BYnqsXlNwqE,ZRInhfqbC`]e_gMdV_fW,bAZQ_wlbYs_KT_hraZaS
xvXgukpJx\v`XCR_RMf\,Naj[HhhUXVgnAGSQJObv,YXOaPN[HCyNguFb_dRWN,mZpARpg\\ySrVKVYn[tV,IFwdByLB`f^lHeHA[XUC,FcNcvoqFhlDexdkKwqSD,aXTPXbyYkI[[KtwDGxkT,tqnV`^njqxyvbIkYrNrC
f_mqqfJOGWYpE\DMGgOW,`O[ASQpiZJmeIwgvf[UK,ZrqsfihTUTHoEnEmwvk`,JfN_fWcTwxIsawPbcwZn,ULcwMJtE[Y^uerEO`jQV,poLrkAw\vjcJgMhPmXy^,CwfFEkDibRncFMGAuAlR,SIU\Ieu\nfvsD_uWYeo`
tfAbCVl`ryB]_s_pt[Fk,PMbrYbEuTUSY_RpUfoym,JblilMRTRXRAQjKrjeoh,jAxF[dkqsCpDD_YmeelM,Ywtv\EfQUEhb[wsB``Ne,XEfOpXVd[dVJISMs_e\O,RAQpDCwbNBaBoucBqMwo,HWcZasXocqYL\AfcaL\p
NZPYZeG\foBLwV^mWMZb,AqgGlcgYvAO`WJ[XMZst,MylInTssRwYKPOTwpntF,kUo_sf\gm\Tv_RqZdgJ`,GchdeEsaBPb]WJ_eqZol,nnZHdNG_rosSWmMekRwn,g]CBTK]TqlyNEuKyuIfg,hRygM\^rxGEAf^NSNMqW
^ADTjqbxj^FyxiRdALIo,XAFdIhLEJstyovp_fjnE,bOc^[ctG`cg^xpWsYJdq,wjgRZCjYocefPGDpgjZM,D\`hXMkXOapWsM`dodow,fdT]EnA_^IGTuESwgJk^,OJVDgudpfnfytnlccmBR,]eNiGf^IDEZ]ntkSoaoW
KWLBuwraoHGCH]KcOfHR,[drt^FANeWeGq^i`hlR\,nXXifQgyYuianGNpSDSl,cL]MjvKECphnYkLANLuG,edUXddx^uyXFuv]UM]_H,rFZxJcYR_N^fJbJsp[hp,\rJd\ieWomDZ\GB[Q``v,qTtAwDudZnJipTmolpyk
p_VhTK\fyptyTR[`LAqI,OFMZxiQWjWWPOGhaJT`o,aBxnaifigynur]LmbLQK,Uv`\lqtljoCYhuQbDYns,WCEONrRIJO[yw]YmcXGX,piUm[FbhCuvBVmWePHlx,TwuSxftPUVtxwpgBYQJa,LFWORHgx\fgj[tgPJbKf
dBC[aRZeAmfHvVERDZLy,S[OqJWnMRjchswR]IVf^,hycnw\TADNEGA]D\GWB_,RVuHmGv[FBKkbgvMVXDu,vLHBFKjGd`usjXoUL[QW,o\SryoNEoWbbIpoyRAoW,EWBGCHL`Abmm\g]RPEwC,bYNRtsDGSXhssnxGCgJ\
joLW^PyytGmnApdxISVS,otwC^MZnKvS_EOKO_mMM,JfQMppBmrfFqguPiiZtW,qjcTkKCJuEmnpBqZTHQU,DfwxDgbksNvnZqbPvhY\,C^eK[^xYZIdWUlTSTxJT,QVoneicfFHigCnwQK[`U,ASl[Geint\cGeSBfwTiY
ZWsTEDdxw_WxIPOUvIYJ,\OlnsLKRgDJux\ufyvNm,KQXW\DNNWSuSOfAOURxW,^uBwO]ApAAnLfuTcOoDP,LQKsypmmDiW_Q^FMBSll,NRFibQHXmnKF\njBaedX,QIuUj_c]joXRqjc`Bf`x,eCnPPEqRpArAZaupOB]a
mmdmFTtJLWo[`hCb`XHO,ZRdnHwiRkCn\Gui^gRoG,TKVwEqNhxDFPQriSE^_x,mT[ViXpRe]uiwm_ng[_b,VPosnRVfwpyn`B^ATTln,nmtiPCZwKLBq`khWfMLR,JwE_FpsWEE\SrW[[dK`D,snteghfIWXdfcJMsnLxB
drrMnql`[kNim`OCjFYx,MkGfTgTMP[BMhDtrS[As,`eiZlLRWEkh`GpGNgBKd,NcSkEQgorNXiDnLmbSio,weCUT]Uvb[roYRJQebjj,C_d[MKyotntIilHjjGvC,VLRd]VWgJGFNW]ICcxjI,[wA\OPIDCAv]`YxRoSV\
ct\HtoLKL`prS`vpvCQ_,ysaWdwkTvbulGrDNDkLZ,eiFtCVgUhlpTSDEEm`Im,KdAiTINmRfhQR[ys[VrD,yFN]ZxI^rUmrVT^RZTix,FF^TQuHJhqWueQByJTqY,SDDDvQ\[ngRpySMLathO,vKILrRsoDeGUniZqkDni
PsTrv[k_WRqhRtMvyIxO,RbrmqhCYVoq^eRVJmVel,pXSrjvCFKGxbj^DYEvVH,EUp]qriXRmq]Z\jS^_WQ,Vpu`NjWBnqeIyWNopaNW,V\rPP]rSjUWXsjvWAA\x,yVfaFhvQaXxvmPbMha[N,VBMrRXnlJuIOcRQ[^KMQ
oVkkPVgE\GCQFtlcBDHn,isrdraFIArtbIFbWWVAQ,_v]pDkFUG^EYdJsHUfhA,ZXaZPOTSDTgrhUjCEfYT,MOS[KqaUjeFrGVWhrF]F,xcjQBLkHIRLQMd]SQh\L,PVSGuZYQjjJg\tqO]wlU,WiFGC\AAPXU^FAHfbLoQ
n\MoAh]hit]OIQqc_oG\,gKsCFClq]FQQJucOKTAr,AAKpWGErPdnA_vdNhtxF,XehcdZ[gmbTRYjsufyXM,nFEgakfdyRD^da[sXSsK,WMCvgogBIdIhbJjrsXw`,vCoxLgGQLr[KnAQeEKKX,le_lTy]jwHFPgKixfSk`
I\NfOviJHYKV_nAj\DWE,jmrgViOgtLCaeYlYWmfq,XHUrHYjuI[kQdshGeLuO,mX^xuPVAffw^eTkEHce\,Im_gXlCAls[wAaqSCXCC,ZIvDfqXq`mvtOhNN^LIi,pXQATkFeUdP\A^j]KsIe,MJglqclUGZg^SXXLnUDc
jwMdpRTbwlUvPsvrFOkc,f[FxY[MTREjBL[[KJGi`,BOLmwiKNnwQTBhVnpwqo,DZmU[LlKUrJERxBkwdgd,lXtRcxN\lsXGsiqA\dgj,MxkgxhLXA[\UU]gw_bOW,JqjtyolX\xsLfJsCibqG,mQiVmuvltgcdAjRALoxx
G[EnFxaAlBvl]pqLpjhn,Vr_fjkxPewAoug[YDggX,SKPZWDAFUKapSVkEeqeg,SHW]lvTHmaMWfCNAUfPV,EbwtPKH]tcqOxk^bhhNl,sTtZNR]It_uHxg_aFUys,Ot`okEJFcGUiJXLmS[Ud,mfuNegiay^fo^\q_L^hR
mPC^FkqDDTj]EyK\TPNi,ZBIYHjpEUNjsDXriZjAY,vvhWmpkLkjUEPdpnM_`f,dQwXu^GvXSn[akpCZYno,MFIrVghJSEJJjRPTLFwQ,W^fcIiySHXC\KpaWPkrO,oDSyLJJUGfRvFmo\XKPF,GLuuTbbqohVMpFZnLrJV
lT_QfHswKhiJheJf`qAJ,mHeSRLiJjSmbfc_SNZVV,u_uMFlYglj^IBWFXWmCk,OVxNh]trZVk]jREYnByl,gSswgTEW_d]AlHOHZQGq,ib\B^CnmMrixAEkQ^LsH,twi\WgOgGi\eYB\yAsWu,DZNOHLsicylhLfKZfXu]
IuhTluhwOwv^PwNHKWHZ,DsK`eapafmNKIdQBOhhP,tqwNbNRGuppr_^UUUhFf,RyMla\JEeUrVhyjFDGXd,WOyqPwoNYonKGNwyWQkY,PcDaA]NGyVOIEXHZRC[w,Z_jHdhrmNdNhkhb\nss_,nlT_iSpirjgVPcG`jA\^
BRha_\imN_FkAPbvpXGX,SfipEIeYSg^rnnBsR^cs,OMDwUy[DwgRbASPyDVbl,fSsFslE]FoGLWQIOq`gn,RQCR`aePKAVuQTcnBIEQ,OjlE]FHJ`inlNCxQRECa,ymfjkoBfLixCJRveloRD,aei^XQ[XvxhPgyjDDkCv
Pjin^GjSQvfUeGvxglby,[BIxCVJwBDZ\YMkmACSw,piKYydEIntFKGQgGNAri,EKYdBGFZUlYnJBTeaiL[,XhlhifRyAnhemL`[Ti`k,BREOBgKhs[]qGdILIYfR,\FNsGlPRtqJTxoSIWFFB,`CsmwmPkJDVLAp]EVuKO
bLCqUcpKuQpUfogLUIKb,mCOlOaoKjOKevkRmYB`Q,PK^BsYnPtVC^GYYABEx\,MHqMNNdaRgnsESAqveuV,wJoBRIQ`M`Riwg^EySiO,gYlXBDs_oMNpdsFwAFvc,yWPETlwZHZnBPdhwsnDZ,Zb\xPncBCGtR^KD`\ksn
W`onteGlAsvgSaTEnXqt,GjjemQ]nWivopqTHnPdY,Zw^ZXWwkNptnKjqrGc_],uOk^MnGuOZuIT[k]SIqb,px_cdOh\hrWbmWVkdT`b,LwYFbwjKDqR``W`oCsAY,DGYGdfhUMrTWFZvWkgaZ,v^Qaf_A\UVYKOoejrD`P
NiuP^WxgQPEIfhBUoVon,QSM[IeucOfO\NQsQdTeK,qb`DNHparacxXD]BYtEs,BrytIOSlR`kaFQiaadbK,d\_L`n^h\PgJNEOD`uUf,BO\KhUc^RmSoelKDkbNt,UBrEaJ`kkTUBMKDN[x[Q,QnAuybjlDfAfg^UOFHSX
DIqs`iub[yriwaoRWHoZ,ynPXqAjpThRZJnDb[q_Z,H^xgXipTM`NogogosSAV,NbRpvupcnaOni\NLSYJo,mo`MtELHhnsksMyTK]WW,whnRHQ[bivWmfrBrjfsf,X`VGxFm]uOT[NuBLkHjY,cBCah]QNQHWqYPC]en^v
lwKhCIk]u[opvMPIi[rF,vGoemHobmKLrDfHTZSgn,uHC\`u\lp`GqiiPeKTno,OuXPUwZ`pxB`qjaqkfMf,UkAon[N\XGBei^pvAiY[,SwGAtIYOCTEvLBwitvSs,yB^mXarnkeJpTb^SQrgp,SvDEq]YlXfkVPWDIITXO
LdfMxtISYEBr\D\XRHFw,EMx[LpC]lSN\ZUSNBKYg,xIxWNsrSLEqDvdDnvIxw,KU[vvhjHfXX_UTLXwYQD,kGAxfJbfAmWKVNnJilZu,v_fBQdaQLfJisWVIkTcq,wKTJyt[nYdDBOaVn_CGp,NpDTClZRHc_ayBw]iMkX
PTgDhWhD_ePS\GjMGRNw,PipkAKuV]`MuMsnW\kx`,lWwrIXFJjdrLUPGS]aP`,GbRhOAPMb\PQslRTFirA,uVPIaeqe[QBf]QEhiIPw,vLtw`vkdLUEkbHBFnsZ^,XoLqDoYUC\cuXJiMJlnU,oVi\ZlN^uok[ZKAsuKCc
[he`dwieaw_DpZhAF`]j,x[xZW_FitaaAAYgbTS\v,h^kOwtPaMFbVxZkIoF]w,danbsMkbYeqYMJNQNRvE,DkFaFqGD^Nuv]JKjZNAQ,RYdxGZ_jaFSviw^ROdOb,VjghKgbLoJmi\]kbbyF`,]KPK\jsHfbLmBtFfsZWE
QlCnCcQH[JnqAsqGV_ZJ,NeFFPaTlEELELxt^FZTG,T^FjWHcA\O_JGvHgfObn,edNI]qhUwxgOxZVTsjCE,]J`pImekUWy[YyWTIntO,DV[ZmOsOZKvPsjl`]]cS,ugGRKeYXdqMluguMhC_J,Yc`gSohaCuWapUPDBJOq
pBIWJdlTuBhIa`aHvBCV,RZlOid`K\]kVxY\wfImW,ZHwRB_ENPDBiSmHBtjvp,hWSJCblHIJiQWuieXODZ,ahJtbrr`lpkPvV^gfkhW,UHuK[ZaDvvRtZhQXLYrr,Ze]pWTt]McjZxyUmtAm^,BDYaYO\KCUOjfG_jdEUa
SdIeStfBPMEDg_tqMy^D,vFgZjq\hJT[XPLw`xKt_,pxRZ_ISIXSyFqjTQwhOQ,rGPECCHSMLGgvM`rnNnf,ZrhfhyVAHf^g\jxlBqPH,yZNfcPCljihHZBkLOPvr,qiuJYVsSwEPuUVu^Ghsp,o]jTZuADdY[yIGGAFeFj
AAYHh\hkaoc[inxAv]P^,qFTkMFnHqpu_`Qvxouya,QtybTev\O]Kuod_jBJX`,kAFbeuTXwBPCbjXRXVPP,p\n`Nn^[kktyElaEirwt,oryVocIX^urvECW`vdEh,wlNlQpLfYjCKkOiNZUUJ,V[YQXT]OhUgfY[I_jqlX
qrWQblWcZ^T\h[uny[hY,J]HBNorguOb`H_uQx`Yl,Fomse[DujEyLKl[EbMyc,BZyrrToLt\wFNEewiMyq,[L_omvRJddPNyGFyb`lv,wuq[rTKDJiWwUGli`el^,AuXcX]TYYPplQ][QPCNt,YLWKe]SvRsXeCeBlglDQ
qQRol\mrewOwihs]bKQf,dduxGaxF^\jSgZNsuKNL,xYE`RshKoJZFgAJaideZ,XS_DypJkpbqbGxSqjPaD,on_GaUgOFQpmpOcYhE`u,LqkWvBkFwByFbY`\_vD\,p\cOivJGBiIkbXyFbxAS,tKL_ZlTaXgIkfoYYardR
CQEcBCXSaRrb`bvughax,Fd]holtF`sGM\PtiFmdM,Bi_JKwSAlLuTi_Is_pBp,JFTnhOeouxrt`tFjJVQg,GHc_LSChgIB`vYnsrYpy,HlgexirTDNRQegXHq^ir,PAxStFo\kROC[AZYTMpj,emHDkUulaIRGmvTb`RI\
uUCWigMmlWH^AQBEinvx,QteImvlaPZkByyEmwWvv,DO[ImidrcJkIoByKjnrJ,BO]`DOTwInlxKQRZ]MgW,MiWdcysHZCQCQwwiKSuK,FCH`xgJfWPapHscUBnAq,YChooNSHKPL`q]eeLZqc,twU[AftqjGBs]f_F\XnL
XUptgC]MVAZXJOXRQAni,UCueRRguXT^\Vlvn^bOb,pMEfWwmPPU^Vb[wcMlrj,QXmvoGafp`ANgwYbiYVy,GMJddNw\`QIOCBhA]g[D,OG]ZRAk`hCmECZCpGxLN,aTVBhSOcsTbJGHfjKLhc,nCEiLTw`TNwBUhaFehwq
aI[MykT`IGdcWMrxie]g,ZPMFrtJuYaFnXIYCpWAy,y^c^NQpiajIJ`sA_AYAT,CmhdGgtmmOkhBe[`LbWs,UlNw^eFTiREUeFR[RoAf,u[nuPmhcOiIK^YRAdCQb,dNuyTbUdPan\VmgnCbf^,LkpsjYt_dbZQgTMVEjvm
Vk`WvDB`R]RoOKXtJBnh,k_tBFIUWfqndBbjStfrs,VDQNXmIA\g_oMA^sO]JS,gBL^GMxGpxthDBYCudhZ,QnatdLKTQY[hFoGB_[Ii,kbtIcLqvVxWjYhKSlCA],RXgAHLtIcOK`GHgwVgS`,UmYyCbnXf`HWpJTmKJbV
RZncF`sohpcRgg^lmIWj,sdtPNUFEAQZbt^ZEJmyp,IqamYdsegmhkem[ikeri,GeFWUJVAawYfHVBjKpGr,eR_nxEejXvifYcntVaes,I__g]odagjFbTYtPPATO,aGqaiE^L]In\VsqGaquA,bbWcsGsK`DpHKlIl_EXp
Jy^ypspUeAJuW_k]^VOZ,GyJuPssAMBAE]bgapHeK,nFtmsBbdVlQuiSKegomO,xra[sru_Rn[OVmhEE\aZ,LkNExTmBrNAkwUrkarYv,pfA[oIXeijOyicKnfy[c,dmEkMATN\PZEieL``F^P,LZLZPbCOgCAl^A[m]oeu
yu\pUODIBSjC]tl]Ci`v,uaXC^WadvVA]XAMFpEV\,A``yoMhrUxbk\mK`aXSg,nQQKGbwChmCViFFQECxH,nZgsvmHOCitvohLlmks\,PpCeQdInOLOv_WctPqNV,WNDyTM^hXGesqSGdA\Ge,Q[BrHLHZ[E\fjJXtC[dr
JcDvUT\\iSI_fDJvOZa\,xpfYeX^RpIcltrB_iQXV,VdyqZnN`EXgvAmgDcIRE,IbIbvkIKnuxMjIvtjXCa,QcysTbleZybjSemkVbuq,`nFPQOTvRb]i^aCXep\o,WsYogBjAumGCNZckisHD,IfjpiUwEm`TaEIZVFUME
GjoGCnLUOVXM[ZpPeKyK,LQAcehDhpcqOk]F]fnhs,ULtOlebySrEdVggYAmJI,MySPExpTNZI^XimeutlB,R`TwBdGMQMMGNJ\IQq\d,KfttxYfqwXtEPfkCFFLi,Q[T`aqbjBkNcETpqcWY],eWaUx_aKjqXQ^bQEttbF
IsbcR\Kcscq[Zvrih^c_,N]sfL`o\FGtRCPuiyZYQ,c\CatLdcAtBM]PMXosHP,\WC]RxXJAtHRPSAYjLAW,Y_jQdP[fxLdMlPDlHXNi,Xh[\GBaLWTOVFptOqiUq,spiHyrHqq[PQbKgwQTHy,iEeLe`HpFLyKVlNIpj`F
\[DPmUZEgkvUMOSehIPU,uLlbqmokqCodsxLPJGBe,`LCUJPN_BFReWfJMGHYS,ddUY_YJMM`RVhDEHf^vh,SaOWmudZUON`kHN^Lqkj,KY]oEqrfBiQkVEEVvALc,RxNCSQXoK`aEFvWdepgs,Am]Qv_FSTmWBPuDXoEm]
Zx\HTAdKvmIpUyUiYEiP,vRndRLOdc^vg\SyjsLnq,LpgoYhTyFe_MEECfCros,SbEhe]cPOVYPgIR\lhoT,]YXWunRgwYQ\e\ETVxy^,woPLuaKxmuTBKkmti`xx,eppKDtniuEWnwBcKnjCZ,TJo\P`NbfVuflBJ[WylY
SPD\GA\lJQvCXYJIysMV,IfwH`fmdeIRnqimiXiFb,UUd]la]dEJ^wspVeooel,eoqpCpvdY]WVJN]xsj[e,[OhxwMXeypLwOjJDNg[J,yHFXVkBZ[p]kk[isPJkI,LLnpjXn`kkrnmGhb_jXb,mE_LU[MmcVMOI][fdxCb
uxPbW_hP`rhqMHupWWDb,OlrbDnw[gOSyoobk\awp,\ovtY]JVVbWbsUHrWtwo,JQUnrYVDbj_YxJbUpCmf,HEKOGKUOtQPRidmdwHRu,xBWcTjCTdvlgZXXRnH_S,sE\iNmAkDCNLvTRfMYFQ,KSNjEmgnjZWWCqqtMZOB
yQn[UYlWfJYdPQERcLNE,p_N[GQODnUURYHETwIb],nFC`FHXoSTSakeMmiDbR,uJphEDQqZDrcR^`whG_Z,v\vkRH_J]SewaymUjDUP,vyyZieVPgaLZu\_XsDte,DuDYbrcxAbOrrrMHE]NN,BKplJFTfXWcnwqknQhdX
QJxbp]labRYDHMuQVjYC,o[S]nrudjTaigSZYkXWb,GfOvs[vnnVsWiEBSGQ_U,DimqeFvHomLRxxoBKtKB,OijtRXTT[dXZTGTRDx^E,YEjMujYQ\paWUbCdIEse,\\\TK_cFGCxdZFAgUnSF,esAvdnxduKcd]DK`CaLK
IxpcJ^`dHuE\Fnx\es]n,ByMuopxgQNJRC_FluBZb,JqrqXQSEWUuMcSQLLq_[,KuT\bIqIBS^wuJZdlxTh,OOoyxybOlQX]oHgigIuh,UJPLFVOvB\nfZ`dx_IXh,nXXArW_qDPKiHbQ`pbQl,hXcCkuVdKlLy_kqhfFbb
tdf^Jfg`GYxDZIoyfgSG,elZmvNvgmMfJTfSRCVJS,psbRx[AsQDN]QwNlfJwh,NhDNPj`icy]_UmCF[]VI,r[KbxWSLKe_]TGCJ\Sxx,J\HLRCdOZDyrcv[fwmZU,PffbeTwfLJvREvMcSBUC,cUWWRepvhNkSSui^BmNp
tHrQnwRhQF[JJE_l[pGx,W[kYpRIHwkc[VHT[TYDu,WgYPMMoTlZvaEGaao\Ou,fbnTCd^kFuOl\[AWxWZp,A`JvrTlv\vfMpRGMWmNn,bMUrvxmrAa[hF]SHEoSk,pHR]GP\KaBRhBiW_rjCK,kfP\\TFscgitVjufQXIE
QlMuf_Fjhxf^PmxthkO_,gIEWgfc[E`k\UjMpeJ__,`aB_`OybPW\uofbTerXa,oUBrhC[NRp`PTjmW[xsx,GGjAWuadJr^aOpmvSfDq,MNXVWB`jCKP`tKK[Evcf,rGW^jKT]difmCcivCkeN,UTblpNM\ynBNLKfEjBBO
RJbmNjUxQ_BtsARFsVHc,gtlWn[^ghtl`dUC]Kpnd,HrRgELyGoeRIY`\yUaO],Ailly\aPeNl\GtEbeO`g,ThMcTEHceRUdmNo^RFug,\GcgRCkDZM\KepSCYo[X,lieXLoNHudjGBgFlx]av,DL\kVMsLYrqnfe^lmsr]
aFhycRWpkBtx_lGChvFX,^xglXdMWHQTHeikuo]T_,QqkgrSrp`CupUfYrtXPf,Sl^ol_`lYbcpXjBsRkmm,dYRTMXOKVWMAflhkucOr,bBPw\DFHndIwHWrJYUKO,fYgEikS^faN_ENOjRaxq,ZelQOgccokJ]lXjrGjFA
EVPjamOJZbFN[N\`Xe\T,]pLtJrwbrRqNFpRfxn^N,WLVMBOxeVvyriw^`oNKM,vfl\AR\KO^uNHDWhJaIp,H_`KroejpbGsaESY`RSC,ZTI[XjWfeTOyZEfpDw_V,YSutmvWgKChrBp[M[a]H,`]JJAIyiGy^RvZCwE]DR
Qsc\cinacx[R_HZMLjBk,W[ma`ZHkSmUpPQLsW]AA,tk`RjkiHr^UfCKHUaWmy,oE`eLegjaFNwvd^q`lQF,KZHGfSdxOupPy_KimECT,wHXXNLlZNjUD`owugHWK,]Yuwu[iXiifYMW]qpJWI,hQ\C_AEqxsNfAWGwgHKW
